Subject	Object	IRI	DiseaseLocation	Direct	Inherited
EFO:0000071	CS57715	http://www.ebi.ac.uk/efo/EFO_0000071		0	0
EFO:0000072	CS57716	http://www.ebi.ac.uk/efo/EFO_0000072		0	0
EFO:0000073	CS57717	http://www.ebi.ac.uk/efo/EFO_0000073		0	0
EFO:0000074	CS57719	http://www.ebi.ac.uk/efo/EFO_0000074		0	0
EFO:0000075	CS57722	http://www.ebi.ac.uk/efo/EFO_0000075		0	0
EFO:0000076	CS57727	http://www.ebi.ac.uk/efo/EFO_0000076		0	0
EFO:0000077	CS57731	http://www.ebi.ac.uk/efo/EFO_0000077		0	0
EFO:0000078	CS57732	http://www.ebi.ac.uk/efo/EFO_0000078		0	0
EFO:0000079	CS57733	http://www.ebi.ac.uk/efo/EFO_0000079		0	0
EFO:0000080	CS57735	http://www.ebi.ac.uk/efo/EFO_0000080		0	0
EFO:0000081	CS57737	http://www.ebi.ac.uk/efo/EFO_0000081		0	0
EFO:0000082	CS57740	http://www.ebi.ac.uk/efo/EFO_0000082		0	0
EFO:0000083	CS57742	http://www.ebi.ac.uk/efo/EFO_0000083		0	0
EFO:0000084	CS57743	http://www.ebi.ac.uk/efo/EFO_0000084		0	0
EFO:0000085	CS57750	http://www.ebi.ac.uk/efo/EFO_0000085		0	0
EFO:0000086	CS57751	http://www.ebi.ac.uk/efo/EFO_0000086		0	0
EFO:0000087	CS57752	http://www.ebi.ac.uk/efo/EFO_0000087		0	0
EFO:0000088	CS57753	http://www.ebi.ac.uk/efo/EFO_0000088		0	0
EFO:0000089	CS57758	http://www.ebi.ac.uk/efo/EFO_0000089		0	0
EFO:0000090	CS57769	http://www.ebi.ac.uk/efo/EFO_0000090		0	0
EFO:0000094	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094		0	0
EFO:0000095	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095		8	0
EFO:0000096	neoplasm of mature B-cells	http://www.ebi.ac.uk/efo/EFO_0000096		0	22
EFO:0000098	BY4741	http://www.ebi.ac.uk/efo/EFO_0000098		0	0
EFO:0000100	BY5251	http://www.ebi.ac.uk/efo/EFO_0000100		0	0
EFO:0000111	CS57770	http://www.ebi.ac.uk/efo/EFO_0000111		0	0
EFO:0000112	CS57771	http://www.ebi.ac.uk/efo/EFO_0000112		0	0
EFO:0000113	CS57776	http://www.ebi.ac.uk/efo/EFO_0000113		0	0
EFO:0000114	CS57777	http://www.ebi.ac.uk/efo/EFO_0000114		0	0
EFO:0000115	CS57778	http://www.ebi.ac.uk/efo/EFO_0000115		0	0
EFO:0000116	CS57779	http://www.ebi.ac.uk/efo/EFO_0000116		0	0
EFO:0000117	CS57783	http://www.ebi.ac.uk/efo/EFO_0000117		0	0
EFO:0000118	CS57785	http://www.ebi.ac.uk/efo/EFO_0000118		0	0
EFO:0000119	CS57789	http://www.ebi.ac.uk/efo/EFO_0000119		0	0
EFO:0000120	CS57790	http://www.ebi.ac.uk/efo/EFO_0000120		0	0
EFO:0000121	CS57801	http://www.ebi.ac.uk/efo/EFO_0000121		0	0
EFO:0000122	CS57803	http://www.ebi.ac.uk/efo/EFO_0000122		0	0
EFO:0000123	CS57807	http://www.ebi.ac.uk/efo/EFO_0000123		0	0
EFO:0000124	CS57810	http://www.ebi.ac.uk/efo/EFO_0000124		0	0
EFO:0000125	CS57811	http://www.ebi.ac.uk/efo/EFO_0000125		0	0
EFO:0000126	CS57812	http://www.ebi.ac.uk/efo/EFO_0000126		0	0
EFO:0000127	CS57813	http://www.ebi.ac.uk/efo/EFO_0000127		0	0
EFO:0000128	CS57816	http://www.ebi.ac.uk/efo/EFO_0000128		0	0
EFO:0000129	CS57820	http://www.ebi.ac.uk/efo/EFO_0000129		0	0
EFO:0000130	CS57822	http://www.ebi.ac.uk/efo/EFO_0000130		0	0
EFO:0000131	CS57823	http://www.ebi.ac.uk/efo/EFO_0000131		0	0
EFO:0000132	CS57824	http://www.ebi.ac.uk/efo/EFO_0000132		0	0
EFO:0000133	CS57825	http://www.ebi.ac.uk/efo/EFO_0000133		0	0
EFO:0000134	CS57826	http://www.ebi.ac.uk/efo/EFO_0000134		0	0
EFO:0000135	CS57827	http://www.ebi.ac.uk/efo/EFO_0000135		0	0
EFO:0000136	CS57828	http://www.ebi.ac.uk/efo/EFO_0000136		0	0
EFO:0000137	CS57834	http://www.ebi.ac.uk/efo/EFO_0000137		0	0
EFO:0000138	CS57835	http://www.ebi.ac.uk/efo/EFO_0000138		0	0
EFO:0000139	CS57836	http://www.ebi.ac.uk/efo/EFO_0000139		0	0
EFO:0000140	CS57840	http://www.ebi.ac.uk/efo/EFO_0000140		0	0
EFO:0000141	CS57842	http://www.ebi.ac.uk/efo/EFO_0000141		0	0
EFO:0000142	CS57843	http://www.ebi.ac.uk/efo/EFO_0000142		0	0
EFO:0000143	CS57847	http://www.ebi.ac.uk/efo/EFO_0000143		0	0
EFO:0000144	CS57848	http://www.ebi.ac.uk/efo/EFO_0000144		0	0
EFO:0000145	CS57850	http://www.ebi.ac.uk/efo/EFO_0000145		0	0
EFO:0000146	CS57854	http://www.ebi.ac.uk/efo/EFO_0000146		0	0
EFO:0000147	CS57858	http://www.ebi.ac.uk/efo/EFO_0000147		0	0
EFO:0000148	CS57859	http://www.ebi.ac.uk/efo/EFO_0000148		0	0
EFO:0000149	CS57867	http://www.ebi.ac.uk/efo/EFO_0000149		0	0
EFO:0000150	CS57870	http://www.ebi.ac.uk/efo/EFO_0000150		0	0
EFO:0000151	CS57871	http://www.ebi.ac.uk/efo/EFO_0000151		0	0
EFO:0000152	CS57873	http://www.ebi.ac.uk/efo/EFO_0000152		0	0
EFO:0000153	CS57874	http://www.ebi.ac.uk/efo/EFO_0000153		0	0
EFO:0000154	CS57875	http://www.ebi.ac.uk/efo/EFO_0000154		0	0
EFO:0000155	CS57876	http://www.ebi.ac.uk/efo/EFO_0000155		0	0
EFO:0000156	CS57883	http://www.ebi.ac.uk/efo/EFO_0000156		0	0
EFO:0000157	CS57884	http://www.ebi.ac.uk/efo/EFO_0000157		0	0
EFO:0000158	CS57886	http://www.ebi.ac.uk/efo/EFO_0000158		0	0
EFO:0000159	CS57890	http://www.ebi.ac.uk/efo/EFO_0000159		0	0
EFO:0000160	CS57896	http://www.ebi.ac.uk/efo/EFO_0000160		0	0
EFO:0000161	CS57901	http://www.ebi.ac.uk/efo/EFO_0000161		0	0
EFO:0000162	CS57904	http://www.ebi.ac.uk/efo/EFO_0000162		0	0
EFO:0000163	CS57905	http://www.ebi.ac.uk/efo/EFO_0000163		0	0
EFO:0000164	CS57908	http://www.ebi.ac.uk/efo/EFO_0000164		0	0
EFO:0000165	CS57923	http://www.ebi.ac.uk/efo/EFO_0000165		0	0
EFO:0000166	CS57924	http://www.ebi.ac.uk/efo/EFO_0000166		0	0
EFO:0000167	CS8581	http://www.ebi.ac.uk/efo/EFO_0000167		0	0
EFO:0000174	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174		0	0
EFO:0000175	FUM1	http://www.ebi.ac.uk/efo/EFO_0000175		0	0
EFO:0000176	Fischer 344	http://www.ebi.ac.uk/efo/EFO_0000176		0	0
EFO:0000178	gastric carcinoma	http://www.ebi.ac.uk/efo/EFO_0000178	UBERON:0000945	0	0
EFO:0000179	Goto-Kakizaki	http://www.ebi.ac.uk/efo/EFO_0000179		0	0
EFO:0000180	HIV-1 infection	http://www.ebi.ac.uk/efo/EFO_0000180		0	0
EFO:0000181	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	CL:0000066	0	0
EFO:0000182	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	UBERON:0002107	4	0
EFO:0000183	Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183		4	0
EFO:0000186	invasive breast ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	UBERON:0001911	0	0
EFO:0000187	Kaposi's sarcoma cell	http://www.ebi.ac.uk/efo/EFO_0000187		0	0
EFO:0000191	MALT lymphoma	http://www.ebi.ac.uk/efo/EFO_0000191		0	0
EFO:0000195	metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195		0	0
EFO:0000196	metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0000196	UBERON:0002367	0	0
EFO:0000197	mucinous carcinoma	http://www.ebi.ac.uk/efo/EFO_0000197	CL:0000066	0	0
EFO:0000198	myelodysplastic syndrome	http://www.ebi.ac.uk/efo/EFO_0000198		1	3
EFO:0000199	oral squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000199	UBERON:0000165	0	0
EFO:0000200	plasma cell neoplasm	http://www.ebi.ac.uk/efo/EFO_0000200		4	4
EFO:0000203	monoclonal gammopathy	http://www.ebi.ac.uk/efo/EFO_0000203		0	0
EFO:0000205	stage I endometrioid carcinoma	http://www.ebi.ac.uk/efo/EFO_0000205	UBERON:0000474	0	0
EFO:0000206	stage II endometrioid carcinoma	http://www.ebi.ac.uk/efo/EFO_0000206	UBERON:0000474	0	0
EFO:0000209	T-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000209		0	14
EFO:0000211	unspecified peripheral T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000211		0	0
EFO:0000216	acinar cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000216	CL:0000066	0	0
EFO:0000217	gastritis	http://www.ebi.ac.uk/efo/EFO_0000217	UBERON:0000945	2	7
EFO:0000218	acute erythroleukemia	http://www.ebi.ac.uk/efo/EFO_0000218	CL:0000763	0	0
EFO:0000220	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220		0	26
EFO:0000221	acute monocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000221	CL:0000763	0	0
EFO:0000222	acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	CL:0000763	0	3
EFO:0000223	acute myelomonocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000223	CL:0000763	0	0
EFO:0000224	acute promyelocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000224	CL:0000763	0	0
EFO:0000225	acute quadriplegic myopathy	http://www.ebi.ac.uk/efo/EFO_0000225	UBERON:0001015	0	0
EFO:0000228	adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000228	CL:0000066	0	23
EFO:0000231	adenoid cystic carcinoma	http://www.ebi.ac.uk/efo/EFO_0000231	CL:0000066	0	0
EFO:0000232	adenoma	http://www.ebi.ac.uk/efo/EFO_0000232	CL:0000066	0	9
EFO:0000233	adenosquamous lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000233	UBERON:0002048	0	0
EFO:0000239	adrenal gland pheochromocytoma	http://www.ebi.ac.uk/efo/EFO_0000239	CL:0000336	0	0
EFO:0000244	adult midgut precursor	http://www.ebi.ac.uk/efo/EFO_0000244		0	0
EFO:0000246	age	http://www.ebi.ac.uk/efo/EFO_0000246		0	85
EFO:0000248	alveolar rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0000248		0	0
EFO:0000254	anal pad specific anlage	http://www.ebi.ac.uk/efo/EFO_0000254		0	0
EFO:0000255	angioimmunoblastic T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000255		2	0
EFO:0000258	antennal primordium2	http://www.ebi.ac.uk/efo/EFO_0000258		0	0
EFO:0000260	anterior endoderm anlage in statu nascendi	http://www.ebi.ac.uk/efo/EFO_0000260		0	0
EFO:0000261	anterior endoderm primordium	http://www.ebi.ac.uk/efo/EFO_0000261		0	0
EFO:0000263	anterior spiracle specific anlage	http://www.ebi.ac.uk/efo/EFO_0000263		0	0
EFO:0000264	antibody	http://www.ebi.ac.uk/efo/EFO_0000264		0	0
EFO:0000266	aortic stenosis	http://www.ebi.ac.uk/efo/EFO_0000266	UBERON:0000947	0	0
EFO:0000269	array design	http://www.ebi.ac.uk/efo/EFO_0000269		0	0
EFO:0000272	astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	UBERON:0000955	0	2
EFO:0000273	atmosphere	http://www.ebi.ac.uk/efo/EFO_0000273		0	0
EFO:0000274	atopic eczema	http://www.ebi.ac.uk/efo/EFO_0000274		6	4
EFO:0000275	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	UBERON:0002081	11	0
EFO:0000278	pancreatitis	http://www.ebi.ac.uk/efo/EFO_0000278	UBERON:0001264	0	6
EFO:0000279	azoospermia	http://www.ebi.ac.uk/efo/EFO_0000279	CL:0000019,UBERON:0000079	0	0
EFO:0000280	Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	UBERON:0001043	3	0
EFO:0000281	basal-like breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000281	UBERON:0001911	0	0
EFO:0000283	behavioral stimulus	http://www.ebi.ac.uk/efo/EFO_0000283		0	0
EFO:0000284	benign prostatic hyperplasia	http://www.ebi.ac.uk/efo/EFO_0000284	UBERON:0002367	4	0
EFO:0000287	biopsy number	http://www.ebi.ac.uk/efo/EFO_0000287		0	0
EFO:0000288	biopsy site	http://www.ebi.ac.uk/efo/EFO_0000288		0	0
EFO:0000294	bladder tumor	http://www.ebi.ac.uk/efo/EFO_0000294	UBERON:0001255	2	3
EFO:0000304	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	UBERON:0001911	0	3
EFO:0000305	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	CL:0000066	0	8
EFO:0000306	breast tumor luminal	http://www.ebi.ac.uk/efo/EFO_0000306	CL:0000066	0	0
EFO:0000308	bronchoalveolar adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000308	UBERON:0002048	0	0
EFO:0000309	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309		0	0
EFO:0000312	cancer site	http://www.ebi.ac.uk/efo/EFO_0000312		0	0
EFO:0000313	carcinoma	http://www.ebi.ac.uk/efo/EFO_0000313	CL:0000066	0	74
EFO:0000315	cardiac mesoderm primordium	http://www.ebi.ac.uk/efo/EFO_0000315		0	0
EFO:0000318	cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000318	UBERON:0002349	9	10
EFO:0000319	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319		17	370
EFO:0000323	cell property	http://www.ebi.ac.uk/efo/EFO_0000323		0	4
EFO:0000324	cell type	http://www.ebi.ac.uk/efo/EFO_0000324		0	1
EFO:0000325	cellular modification	http://www.ebi.ac.uk/efo/EFO_0000325		0	0
EFO:0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326		4	9
EFO:0000330	childhood acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000330	CL:0000763	2	0
EFO:0000331	chondroblastoma	http://www.ebi.ac.uk/efo/EFO_0000331	UBERON:0001474	0	0
EFO:0000332	chondromyxoid fibroma	http://www.ebi.ac.uk/efo/EFO_0000332	UBERON:0001474	0	0
EFO:0000333	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	UBERON:0001474	0	0
EFO:0000335	chromophobe renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000335	UBERON:0002113	0	0
EFO:0000336	chromosomal aberration	http://www.ebi.ac.uk/efo/EFO_0000336		0	0
EFO:0000337	chronic gastritis	http://www.ebi.ac.uk/efo/EFO_0000337	UBERON:0000945	4	0
EFO:0000339	chronic myelogenous leukemia	http://www.ebi.ac.uk/efo/EFO_0000339	CL:0000763	1	0
EFO:0000341	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	UBERON:0002048,UBERON:0003126	11	16
EFO:0000342	chronic pancreatitis	http://www.ebi.ac.uk/efo/EFO_0000342	UBERON:0001264	2	0
EFO:0000344	circular visceral mesoderm primordium	http://www.ebi.ac.uk/efo/EFO_0000344		0	0
EFO:0000347	classifier prediction	http://www.ebi.ac.uk/efo/EFO_0000347		0	0
EFO:0000348	clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000348	CL:0000066	0	0
EFO:0000349	clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	UBERON:0002113	0	0
EFO:0000350	clear cell sarcoma of the kidney	http://www.ebi.ac.uk/efo/EFO_0000350	UBERON:0002113	1	0
EFO:0000352	clinical history	http://www.ebi.ac.uk/efo/EFO_0000352		0	17
EFO:0000355	clinical treatment protocol	http://www.ebi.ac.uk/efo/EFO_0000355		0	6
EFO:0000364	colon mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000364	UBERON:0001155	0	0
EFO:0000365	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	UBERON:0001052,UBERON:0001155	0	2
EFO:0000368	minor histocompatibility congenic strain	http://www.ebi.ac.uk/efo/EFO_0000368		0	0
EFO:0000369	compound based treatment	http://www.ebi.ac.uk/efo/EFO_0000369		0	0
EFO:0000370	chemically induced mutation	http://www.ebi.ac.uk/efo/EFO_0000370		0	0
EFO:0000373	congestive heart failure	http://www.ebi.ac.uk/efo/EFO_0000373	UBERON:0000948	2	3
EFO:0000375	array control spike calibration	http://www.ebi.ac.uk/efo/EFO_0000375		0	0
EFO:0000384	Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000384	UBERON:0002405	17	0
EFO:0000386	crystal cell specific anlage	http://www.ebi.ac.uk/efo/EFO_0000386		0	0
EFO:0000388	electrical current	http://www.ebi.ac.uk/efo/EFO_0000388		0	0
EFO:0000389	cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	UBERON:0000014	15	0
EFO:0000391	damage intensity	http://www.ebi.ac.uk/efo/EFO_0000391		0	0
EFO:0000393	Robertsonian translocation	http://www.ebi.ac.uk/efo/EFO_0000393		0	0
EFO:0000394	dedifferentiated chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000394	UBERON:0001474	0	0
EFO:0000395	delivery method	http://www.ebi.ac.uk/efo/EFO_0000395		1	0
EFO:0000397	dermal neurofibroma	http://www.ebi.ac.uk/efo/EFO_0000397		0	0
EFO:0000398	dermatomyositis	http://www.ebi.ac.uk/efo/EFO_0000398	UBERON:0000014,UBERON:0001015	2	0
EFO:0000399	developmental stage	http://www.ebi.ac.uk/efo/EFO_0000399		0	3
EFO:0000400	diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0000400		17	45
EFO:0000401	diabetic nephropathy	http://www.ebi.ac.uk/efo/EFO_0000401	UBERON:0002113	2	0
EFO:0000402	diffuse gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000402	UBERON:0000945	0	0
EFO:0000403	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403		2	0
EFO:0000404	diffuse scleroderma	http://www.ebi.ac.uk/efo/EFO_0000404	UBERON:0000014	0	0
EFO:0000405	digestive system disease	http://www.ebi.ac.uk/efo/EFO_0000405		21	492
EFO:0000407	dilated cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000407	UBERON:0002349	0	0
EFO:0000408	disease	http://www.ebi.ac.uk/efo/EFO_0000408		2	3575
EFO:0000409	disease free survival	http://www.ebi.ac.uk/efo/EFO_0000409		0	0
EFO:0000410	disease staging	http://www.ebi.ac.uk/efo/EFO_0000410		0	0
EFO:0000412	distant metastasis free survival	http://www.ebi.ac.uk/efo/EFO_0000412		0	0
EFO:0000413	dorsal apodeme specific anlage	http://www.ebi.ac.uk/efo/EFO_0000413		0	0
EFO:0000415	dorsal ectoderm anlage in statu nascendi	http://www.ebi.ac.uk/efo/EFO_0000415		0	0
EFO:0000416	dorsal ectoderm primordium	http://www.ebi.ac.uk/efo/EFO_0000416		0	0
EFO:0000423	dorsal prothoracic pharyngeal muscle	http://www.ebi.ac.uk/efo/EFO_0000423		0	0
EFO:0000428	dose	http://www.ebi.ac.uk/efo/EFO_0000428		0	0
EFO:0000432	breast ductal carcinoma in situ	http://www.ebi.ac.uk/efo/EFO_0000432	UBERON:0001911	3	0
EFO:0000433	duration	http://www.ebi.ac.uk/efo/EFO_0000433		1	0
EFO:0000434	ecotype	http://www.ebi.ac.uk/efo/EFO_0000434		0	0
EFO:0000435	ectoderm anlage in statu nascendi	http://www.ebi.ac.uk/efo/EFO_0000435		0	0
EFO:0000437	embryonal rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0000437		0	0
EFO:0000447	embryonic central nervous system	http://www.ebi.ac.uk/efo/EFO_0000447		0	0
EFO:0000448	embryonic corpus allatum	http://www.ebi.ac.uk/efo/EFO_0000448		0	0
EFO:0000449	embryonic corpus cardiacum	http://www.ebi.ac.uk/efo/EFO_0000449		0	0
EFO:0000450	embryonic cuprophilic cell	http://www.ebi.ac.uk/efo/EFO_0000450		0	0
EFO:0000464	emphysema	http://www.ebi.ac.uk/efo/EFO_0000464	UBERON:0002048	6	1
EFO:0000465	endocarditis	http://www.ebi.ac.uk/efo/EFO_0000465	UBERON:0002165	4	0
EFO:0000466	endometrioid carcinoma	http://www.ebi.ac.uk/efo/EFO_0000466	UBERON:0000474	0	3
EFO:0000469	environmental factor	http://www.ebi.ac.uk/efo/EFO_0000469		1	1
EFO:0000470	environmental stress treatment	http://www.ebi.ac.uk/efo/EFO_0000470		0	0
