# Date and time run: 2023-08-07 20:41:41.057748
# Target Ontology: http://www.ebi.ac.uk/efo/efo.owl
# Text2term version: 3.0.0
# Minimum Score: 0.60
# Mapper: tfidf
# Base IRIs: ('http://www.ebi.ac.uk/efo/', 'http://purl.obolibrary.org/obo/MONDO', 'http://purl.obolibrary.org/obo/HP', 'http://www.orpha.net/ORDO', 'http://purl.obolibrary.org/obo/DOID')
# Max Mappings: 1
# Term Type: classes
# Deprecated Terms Excluded
# Unmapped Terms Excluded
# Of 22406 entries, 11543 were successfully mapped to 5315 unique terms
Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score,Tags
ukb-b-11748,Diagnoses - main ICD10: I47.1 Supraventricular tachycardia,Supraventricular tachycardia,HP:0004755,http://purl.obolibrary.org/obo/HP_0004755,0.81,None
ebi-a-GCST90016625,Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS)),rheumatoid arthritis,EFO:0000685,http://www.ebi.ac.uk/efo/EFO_0000685,0.723,None
finn-b-CHARCOT,Charcot foot,amyotrophic lateral sclerosis,MONDO:0004976,http://purl.obolibrary.org/obo/MONDO_0004976,0.716,None
ukb-a-214,Illnesses of mother: Chronic bronchitis/emphysema,chronic bronchitis,EFO:0006505,http://www.ebi.ac.uk/efo/EFO_0006505,0.655,None
finn-b-N14_OTHNONINFVAG,Other noninflammatory disorders of vagina,inflammatory disease,EFO:0009903,http://www.ebi.ac.uk/efo/EFO_0009903,0.723,None
ukb-b-8072,Diagnoses - secondary ICD10: N40 Hyperplasia of prostate,benign prostatic hyperplasia,EFO:0000284,http://www.ebi.ac.uk/efo/EFO_0000284,0.663,None
ukb-d-L12_ACTINKERA,Actinic keratosis,actinic keratosis,EFO:0002496,http://www.ebi.ac.uk/efo/EFO_0002496,0.988,None
ukb-e-30660_MID,Direct bilirubin,bilirubin measurement,EFO:0004570,http://www.ebi.ac.uk/efo/EFO_0004570,0.694,None
finn-b-J10_NECROTIC,Suppurative and necrotic conditions of lower respiratory tract,lower respiratory tract disease,EFO:0009433,http://www.ebi.ac.uk/efo/EFO_0009433,0.624,None
ukb-d-LUNG_CANCER_MESOT,Lung cancer and mesothelioma,mesothelioma,EFO:0000588,http://www.ebi.ac.uk/efo/EFO_0000588,0.814,None
ukb-d-H7_EYELIDDIS,Other disorders of eyelid,eyelid disease,EFO:0009547,http://www.ebi.ac.uk/efo/EFO_0009547,0.935,None
ukb-e-24008_EAS,Particulate matter air pollution 2.5-10um; 2010,particulate matter air pollution measurement,EFO:0008255,http://www.ebi.ac.uk/efo/EFO_0008255,0.723,None
ieu-a-1112,Primary sclerosing cholangitis,sclerosing cholangitis,EFO:0004268,http://www.ebi.ac.uk/efo/EFO_0004268,0.994,None
ieu-a-834,Rheumatoid arthritis,rheumatoid arthritis,EFO:0000685,http://www.ebi.ac.uk/efo/EFO_0000685,0.997,None
ukb-e-20004_p40_AFR,Operation code,ophthalmic procedure,EFO:0010722,http://www.ebi.ac.uk/efo/EFO_0010722,0.625,None
finn-b-I9_CHD,Major coronary heart disease event,coronary artery disease,EFO:0001645,http://www.ebi.ac.uk/efo/EFO_0001645,0.77,None
finn-b-CD2_BENIGN_THYROID,Benign neoplasm of thyroid gland,Benign Thyroid Gland Neoplasm,EFO:1000122,http://www.ebi.ac.uk/efo/EFO_1000122,0.993,None
finn-b-L12_CHRONICULCEROFSKIN,"Chronic ulcer of skin, not elsewhere classified",chronic ulcer of skin,EFO:0007066,http://www.ebi.ac.uk/efo/EFO_0007066,0.993,None
ukb-e-R63_CSA,R63 Symptoms and signs concerning food and fluid intake,sign or symptom concerning food and fluid intake,EFO:0009825,http://www.ebi.ac.uk/efo/EFO_0009825,0.781,None
ukb-e-6164_p4_AFR,Types of physical activity in last 4 weeks,physical activity,EFO:0003940,http://www.ebi.ac.uk/efo/EFO_0003940,0.7,None
finn-b-E4_DELPUB,Delayed puberty,Delayed puberty,HP:0000823,http://purl.obolibrary.org/obo/HP_0000823,0.995,None
finn-b-HYPOTHY_REIMB,"Hypothyroidism, drug reimbursement",hypothyroidism,EFO:0004705,http://www.ebi.ac.uk/efo/EFO_0004705,0.646,None
ukb-d-C79,Diagnoses - main ICD10: C79 Secondary malignant neoplasm of other sites,secondary malignant neoplasm,EFO:0009812,http://www.ebi.ac.uk/efo/EFO_0009812,0.663,None
ukb-e-20004_p97_CSA,Operation code,ophthalmic procedure,EFO:0010722,http://www.ebi.ac.uk/efo/EFO_0010722,0.625,None
ukb-d-K11_OTHGASTR,Other gastritis (incl. Duodenitis),duodenitis,MONDO:0004627,http://purl.obolibrary.org/obo/MONDO_0004627,0.73,None
ukb-e-52_p2_EAS,Month of birth,date of birth,EFO:0004950,http://www.ebi.ac.uk/efo/EFO_0004950,0.632,None
finn-b-H8_EXT_ABSC,Abscess of external ear,external ear disease,EFO:0009668,http://www.ebi.ac.uk/efo/EFO_0009668,0.678,None
ukb-e-2020_EAS,"Loneliness, isolation",loneliness measurement,EFO:0007865,http://www.ebi.ac.uk/efo/EFO_0007865,0.628,None
ieu-a-1137,ER- Breast cancer (GWAS),breast cancer,MONDO:0007254,http://purl.obolibrary.org/obo/MONDO_0007254,0.679,None
finn-b-AB1_ZOSTER,Zoster [herpes zoster],Herpes Zoster,EFO:0006510,http://www.ebi.ac.uk/efo/EFO_0006510,0.943,None
finn-b-MUCOPROCT,Mucosal proctocolitis,ulcerative proctosigmoiditis,EFO:1001223,http://www.ebi.ac.uk/efo/EFO_1001223,0.733,None
ukb-b-13998,Diagnoses - secondary ICD10: N84.0 Polyp of corpus uteri,uterine polyp,EFO:0009484,http://www.ebi.ac.uk/efo/EFO_0009484,0.655,None
ukb-d-M13_GANGLION,Ganglion,ganglioglioma,EFO:0003094,http://www.ebi.ac.uk/efo/EFO_0003094,0.821,None
ukb-e-30140_AFR,Neutrophill count,neutrophil count,EFO:0004833,http://www.ebi.ac.uk/efo/EFO_0004833,0.886,None
finn-b-ASTHMA_NAS,"Asthma, unspecified (mode)",asthma,MONDO:0004979,http://purl.obolibrary.org/obo/MONDO_0004979,0.809,None
ukb-e-30200_AFR,Neutrophill percentage,neutrophil percentage of leukocytes,EFO:0007990,http://www.ebi.ac.uk/efo/EFO_0007990,0.917,None
ukb-e-2020_MID,"Loneliness, isolation",loneliness measurement,EFO:0007865,http://www.ebi.ac.uk/efo/EFO_0007865,0.628,None
ukb-e-100490_AFR,Intake of sugar added to tea,sugar consumption measurement,EFO:0010158,http://www.ebi.ac.uk/efo/EFO_0010158,0.615,None
finn-b-Z21_DEPENDENCE_ENABL_MACHINES_DEVICES_NOT_ELSEW_CLASSIFIED,"Dependence on enabling machines and devices, not elsewhere classified",dependence on enabling machines and devices,EFO:0020981,http://www.ebi.ac.uk/efo/EFO_0020981,0.944,None
finn-b-G6_NEUINFL,Inflammatory diseases of the central nervous system,encephalomyelitis,EFO:0001423,http://www.ebi.ac.uk/efo/EFO_0001423,0.858,None
finn-b-I9_PAROXTAC_EXNONE,Paroxysmal tachycardia (no controls excluded),paroxysmal tachycardia,EFO:0009493,http://www.ebi.ac.uk/efo/EFO_0009493,0.961,None
ukb-e-21000_p17_AFR,Ethnic background,ethnic group,EFO:0001799,http://www.ebi.ac.uk/efo/EFO_0001799,0.64,None
ebi-a-GCST90000514,Gastroesophageal reflux disease,gastroesophageal reflux disease,EFO:0003948,http://www.ebi.ac.uk/efo/EFO_0003948,0.993,None
finn-b-CD2_BENIGN_SKIN_LIP_EXALLC,Benign neoplasm: Skin of lip (all cancers excluded),benign neoplasm of skin,MONDO:0021440,http://purl.obolibrary.org/obo/MONDO_0021440,0.825,None
ukb-a-303,Hair/balding pattern: Pattern 4,Abnormal hair pattern,HP:0010720,http://purl.obolibrary.org/obo/HP_0010720,0.687,None
ukb-e-709_p1_EAS,Number in household,household income,EFO:0009695,http://www.ebi.ac.uk/efo/EFO_0009695,0.709,None
finn-b-C3_UNCERTAIN_SECONDARY,Secondary uncertain malignant neoplasm,secondary malignant neoplasm,EFO:0009812,http://www.ebi.ac.uk/efo/EFO_0009812,0.81,None
ukb-e-recode167_EAS,NA,sodium measurement,EFO:0009282,http://www.ebi.ac.uk/efo/EFO_0009282,0.605,None
ukb-e-4106_CSA,"Heel bone mineral density (BMD) T-score, automated (left)",heel bone mineral density,EFO:0009270,http://www.ebi.ac.uk/efo/EFO_0009270,0.665,None
finn-b-AB1_VIRAL_ENCEPHALITIS_NOS,"Viral encephalitis, not elsewhere classified/unspecified",viral encephalitis,EFO:0007538,http://www.ebi.ac.uk/efo/EFO_0007538,0.99,None
ukb-e-5108_AFR,3mm asymmetry angle (right),hemifacial hypertrophy,MONDO:0007590,http://purl.obolibrary.org/obo/MONDO_0007590,0.602,None
ukb-e-20502_AFR,Ever had period extreme irritability,Irritability,HP:0000737,http://purl.obolibrary.org/obo/HP_0000737,0.634,None
ukb-e-recode124_CSA,NA,sodium measurement,EFO:0009282,http://www.ebi.ac.uk/efo/EFO_0009282,0.605,None
ukb-d-COLITNONINFNAS,Noninfectious colitis NAS,infectious colitis,EFO:1000035,http://www.ebi.ac.uk/efo/EFO_1000035,0.813,None
finn-b-CD2_BENIGN_MENINGES_SPINAL,Benign neoplasm: Spinal meninges,meningeal neoplasm,EFO:0003851,http://www.ebi.ac.uk/efo/EFO_0003851,0.789,None
finn-b-F5_DEMENTIA,Dementia,Dementia,HP:0000726,http://purl.obolibrary.org/obo/HP_0000726,0.995,None
ieu-a-966,Lung cancer,lung cancer,MONDO:0008903,http://purl.obolibrary.org/obo/MONDO_0008903,0.992,None
finn-b-M13_DERMATOPOLY,Dermatopolymyositis,dermatomyositis,EFO:0000398,http://www.ebi.ac.uk/efo/EFO_0000398,0.993,None
ukb-b-4725,"Non-cancer illness code, self-reported: duodenal ulcer",duodenal ulcer,EFO:0004607,http://www.ebi.ac.uk/efo/EFO_0004607,0.684,None
ebi-a-GCST90016622,Schizophrenia vs major depressive disorder (ordinary least squares (OLS)),major depressive disorder,MONDO:0002009,http://purl.obolibrary.org/obo/MONDO_0002009,0.649,None
ukb-e-5057_CSA,Number of older siblings,number of siblings,EFO:0009713,http://www.ebi.ac.uk/efo/EFO_0009713,0.851,None
finn-b-D3_COAGDEF,Chronic Coagulation defects,blood coagulation disease,EFO:0009314,http://www.ebi.ac.uk/efo/EFO_0009314,0.756,None
finn-b-CD2_BENIGN_TRANSVERSE_COLON,Benign neoplasm: Transverse colon,benign colon neoplasm,MONDO:0002278,http://purl.obolibrary.org/obo/MONDO_0002278,0.768,None
ukb-e-1920_AFR,Mood swings,Emotional lability,HP:0000712,http://purl.obolibrary.org/obo/HP_0000712,0.995,None
ukb-e-4548_EAS,Health satisfaction,health satisfaction measurement,EFO:0009724,http://www.ebi.ac.uk/efo/EFO_0009724,0.907,None
ukb-e-recode453_CSA,NA,sodium measurement,EFO:0009282,http://www.ebi.ac.uk/efo/EFO_0009282,0.605,None
finn-b-AB1_HEPATITIS_OTHER_VIRAL,Other  viral hepatitis,animal viral hepatitis,EFO:0007540,http://www.ebi.ac.uk/efo/EFO_0007540,0.998,None
ukb-b-11064,Diagnoses - secondary ICD10: Z95.1 Presence of aortocoronary bypass graft,coronary artery bypass,EFO:0003776,http://www.ebi.ac.uk/efo/EFO_0003776,0.677,None
ukb-e-100013_CSA,Vitamin B12,vitamin B12 deficiency,EFO:0000734,http://www.ebi.ac.uk/efo/EFO_0000734,0.914,None
ukb-e-SBP_p2_AFR,"Systolic blood pressure, combined automated + manual reading",systolic blood pressure,EFO:0006335,http://www.ebi.ac.uk/efo/EFO_0006335,0.696,None
finn-b-CD2_BENIGN_SALIVARY_EXALLC,Benign neoplasm of major salivary glands (all cancers excluded),major salivary gland cancer,MONDO:0044743,http://purl.obolibrary.org/obo/MONDO_0044743,0.809,None
ukb-b-5617,Operation code: pilonidal sinus surgery (anal),Pilonidal sinus,HP:0010769,http://purl.obolibrary.org/obo/HP_0010769,0.739,None
finn-b-G6_ALCOPOLY,Alcohol induced polyneuropathy (G6_ALCOPOLY),alcoholic neuropathy,EFO:1000803,http://www.ebi.ac.uk/efo/EFO_1000803,0.769,None
finn-b-E4_HYPEROSMHNAT,Hyperosmolality and hypernatraemia,Hypernatremia,HP:0003228,http://purl.obolibrary.org/obo/HP_0003228,0.619,None
finn-b-ST19_FOCAL_BRAIN_INJURY,Focal brain injury,brain injury,MONDO:0043510,http://purl.obolibrary.org/obo/MONDO_0043510,0.794,None
ukb-a-520,Diagnoses - main ICD10: C61 Malignant neoplasm of prostate,prostate cancer,MONDO:0008315,http://purl.obolibrary.org/obo/MONDO_0008315,0.727,None
finn-b-L12_OTHERCONTACT,Other contact dermatitis,contact dermatitis,EFO:0005319,http://www.ebi.ac.uk/efo/EFO_0005319,0.989,None
ieu-a-90,Obesity class 1,obesity,EFO:0001073,http://www.ebi.ac.uk/efo/EFO_0001073,0.791,None
ukb-e-20117_p2_CSA,Alcohol drinker status,alcohol drinking,EFO:0004329,http://www.ebi.ac.uk/efo/EFO_0004329,0.653,None
ukb-e-recode213_CSA,NA,sodium measurement,EFO:0009282,http://www.ebi.ac.uk/efo/EFO_0009282,0.605,None
finn-b-I9_AORTANEUR,Aortic aneurysm,aortic aneurysm,EFO:0001666,http://www.ebi.ac.uk/efo/EFO_0001666,0.993,None
finn-b-I9_INTRACRA_EXNONE,Nontraumatic intracranial haemmorrhage (no controls excluded),intracranial hemorrhage,EFO:0000551,http://www.ebi.ac.uk/efo/EFO_0000551,0.733,None
ukb-e-1339_MID,Non-oily fish intake,fish consumption measurement,EFO:0010139,http://www.ebi.ac.uk/efo/EFO_0010139,0.643,None
ukb-e-20004_p96_AFR,Operation code,ophthalmic procedure,EFO:0010722,http://www.ebi.ac.uk/efo/EFO_0010722,0.625,None
finn-b-CD2_BENIGN_BREAST_EXALLC,Benign neoplasm of breast (all cancers excluded),breast benign neoplasm,MONDO:0000620,http://purl.obolibrary.org/obo/MONDO_0000620,0.888,None
ukb-d-N80,Diagnoses - main ICD10: N80 Endometriosis,endometriosis,EFO:0001065,http://www.ebi.ac.uk/efo/EFO_0001065,0.668,None
finn-b-F5_SEXDYS,Sexual dysfunction,sexual dysfunction,EFO:0004714,http://www.ebi.ac.uk/efo/EFO_0004714,0.984,None
finn-b-H7_LAGOPHTALMOS,Lagophthalmos,lagophthalmos,MONDO:0001604,http://purl.obolibrary.org/obo/MONDO_0001604,0.989,None
ukb-e-6149_p7_CSA,Mouth/teeth dental problems,Abnormality of the dentition,HP:0000164,http://purl.obolibrary.org/obo/HP_0000164,0.657,None
finn-b-C3_SMALL_INTESTINE_EXALLC,Malignant neoplasm of small intestine (all cancers excluded),small intestine cancer,MONDO:0000956,http://purl.obolibrary.org/obo/MONDO_0000956,0.922,None
finn-b-E4_DIABINSIPIDUS,Diabetes insipidus,diabetes insipidus,MONDO:0004782,http://purl.obolibrary.org/obo/MONDO_0004782,0.995,None
ukb-e-6155_p8_CSA,Vitamin and mineral supplements,vitamin supplement exposure measurement,EFO:0009116,http://www.ebi.ac.uk/efo/EFO_0009116,0.612,None
finn-b-G6_HCNP,Normal-pressure hydrocephalus,normal pressure hydrocephalus,EFO:1001065,http://www.ebi.ac.uk/efo/EFO_1001065,0.982,None
ukb-e-1060_MID,Time spent outdoors in winter,time spent outdoors measurement,EFO:0600081,http://www.ebi.ac.uk/efo/EFO_0600081,0.849,None
finn-b-M13_BURSELBOWOTH,Other bursitis of elbow,olecranon bursitis,MONDO:0001557,http://purl.obolibrary.org/obo/MONDO_0001557,0.997,None
finn-b-CD2_BENIGN_SKIN_LOWERLIMB,"Benign neoplasm: Skin of lower limb, including hip",benign neoplasm of skin,MONDO:0021440,http://purl.obolibrary.org/obo/MONDO_0021440,0.633,None
finn-b-KRA_PSY_SPEELING,Speech and linguistic disorders,speech disorder,MONDO:0004730,http://purl.obolibrary.org/obo/MONDO_0004730,0.715,None
ukb-b-6740,Current employment status: In paid employment or self-employed,employment status,EFO:0005241,http://www.ebi.ac.uk/efo/EFO_0005241,0.847,None
finn-b-AD_U,Alzheimer<c3><95>s disease (undefined),Alzheimer disease,MONDO:0004975,http://purl.obolibrary.org/obo/MONDO_0004975,0.805,None
finn-b-C3_CONNECTIVE_SOFT_NAS_EXALLC,Malignant neoplasm of other connective and soft tissue (all cancers excluded),malignant soft tissue neoplasm,MONDO:0024637,http://purl.obolibrary.org/obo/MONDO_0024637,0.814,None
finn-b-F5_EMOPER,Emotionally unstable personality disorder,Personality disorder,HP:0012075,http://purl.obolibrary.org/obo/HP_0012075,0.683,None
ukb-e-30640_CSA,Apolipoprotein B,apolipoprotein B measurement,EFO:0004615,http://www.ebi.ac.uk/efo/EFO_0004615,0.872,None
ukb-e-670_p3_CSA,Type of accommodation lived in,eye accommodation disease,MONDO:0000926,http://purl.obolibrary.org/obo/MONDO_0000926,0.732,None
ebi-a-GCST005531,Multiple sclerosis,multiple sclerosis,MONDO:0005301,http://purl.obolibrary.org/obo/MONDO_0005301,0.995,None
ukb-a-204,Illnesses of father: Prostate cancer,prostate cancer,MONDO:0008315,http://purl.obolibrary.org/obo/MONDO_0008315,0.657,None
finn-b-E4_GILBERT,Gilbert syndrome,Gilbert syndrome,EFO:0005556,http://www.ebi.ac.uk/efo/EFO_0005556,0.972,None
finn-b-R18_MALAI_FATIG,Malaise and fatigue,Fatigue,HP:0012378,http://purl.obolibrary.org/obo/HP_0012378,0.734,None
finn-b-M13_OSTEOMYELITIS,Osteomyelitis,osteomyelitis,EFO:0003102,http://www.ebi.ac.uk/efo/EFO_0003102,0.997,None
ebi-a-GCST006651,Menstruation quality of life impact (sleepiness),quality of life during menstruation measurement,EFO:0009366,http://www.ebi.ac.uk/efo/EFO_0009366,0.652,None
finn-b-G6_CARPTU,Carpal tunnel syndrome,carpal tunnel syndrome,EFO:0004143,http://www.ebi.ac.uk/efo/EFO_0004143,0.967,None
finn-b-RHEUMA_SEROPOS_OTH,Other/unspecified seropositiverheumatoid arthritis,rheumatoid arthritis,EFO:0000685,http://www.ebi.ac.uk/efo/EFO_0000685,0.745,None
ukb-b-8517,"Non-cancer illness code, self-reported: urinary frequency / incontinence",Urinary incontinence,HP:0000020,http://purl.obolibrary.org/obo/HP_0000020,0.607,None
finn-b-GOUT_KIDNEY,Gout due to impairment of renal function,functional impairment measurement,EFO:0005412,http://www.ebi.ac.uk/efo/EFO_0005412,0.68,None
ukb-e-recode127_AFR,NA,sodium measurement,EFO:0009282,http://www.ebi.ac.uk/efo/EFO_0009282,0.605,None
finn-b-M13_BURSITISHIPOTH,Other bursitis of hip,bursitis,MONDO:0002471,http://purl.obolibrary.org/obo/MONDO_0002471,0.826,None
ukb-e-244_CSA,Hypothyroidism,hypothyroidism,EFO:0004705,http://www.ebi.ac.uk/efo/EFO_0004705,0.991,None
finn-b-CD2_BENIGN_INTRATHORACIC,Benign neoplasm of other and unspecified intrathoracic organs,thoracic benign neoplasm,MONDO:0000634,http://purl.obolibrary.org/obo/MONDO_0000634,0.78,None
finn-b-I9_ARTEMBTHR_EXNONE,Arterial embolism and thrombosis (no controls excluded),Thromboembolism,HP:0001907,http://purl.obolibrary.org/obo/HP_0001907,0.834,None
ukb-e-21000_p16_EAS,Ethnic background,ethnic group,EFO:0001799,http://www.ebi.ac.uk/efo/EFO_0001799,0.64,None
ukb-b-1234,Doctor diagnosed chronic bronchitis,chronic bronchitis,EFO:0006505,http://www.ebi.ac.uk/efo/EFO_0006505,0.783,None
finn-b-F5_PERSMOOD,Persistent mood disorders,dysthymic disorder,EFO:0008623,http://www.ebi.ac.uk/efo/EFO_0008623,0.844,None
ukb-e-30280_EAS,Immature reticulocyte fraction,Immature Reticulocyte Fraction Measurement,EFO:0009253,http://www.ebi.ac.uk/efo/EFO_0009253,0.994,None
ukb-e-3077_EAS,Seating box height,body height,EFO:0004339,http://www.ebi.ac.uk/efo/EFO_0004339,0.645,None
finn-b-CHOLELITH_BROAD,"Cholelithiasis, broad definition with cholecystitis",cholelithiasis,EFO:0004799,http://www.ebi.ac.uk/efo/EFO_0004799,0.74,None
ukb-d-1707_1,Handedness (chirality/laterality): Right-handed,handedness,EFO:0009902,http://www.ebi.ac.uk/efo/EFO_0009902,0.648,None
ukb-e-135_EAS,Number of self-reported non-cancer illnesses,"number of non-cancer illnesses, self-reported",EFO:0009801,http://www.ebi.ac.uk/efo/EFO_0009801,0.815,None
ukb-e-20003_p33_AFR,Treatment/medication code,age at initiation of treatment,EFO:0021779,http://www.ebi.ac.uk/efo/EFO_0021779,0.663,None
ukb-e-4537_AFR,Work/job satisfaction,job satisfaction measurement,EFO:0009723,http://www.ebi.ac.uk/efo/EFO_0009723,0.901,None
ukb-b-8210,"Non-cancer illness code, self-reported: crohns disease",Crohn's disease,EFO:0000384,http://www.ebi.ac.uk/efo/EFO_0000384,0.625,None
finn-b-P16_RESPI_DISTR_NEWBO,Respiratory distress of newborn,newborn respiratory distress syndrome,EFO:1000644,http://www.ebi.ac.uk/efo/EFO_1000644,0.952,None
finn-b-D3_KELA_IMMUDEF,Kela reimbursement Agammaglobulinemia (D80-84),agammaglobulinemia,MONDO:0015977,http://purl.obolibrary.org/obo/MONDO_0015977,0.643,None
finn-b-I9_HYPTENSRD,Hypertensive Renal Disease,hypertensive nephropathy,MONDO:0024633,http://purl.obolibrary.org/obo/MONDO_0024633,0.987,None
finn-b-D3_IMMUDEFANTIBODY,Immunodeficiency with predominantly antibody defects,Other immunodeficiency syndrome with predominantly antibody defects,ORPHANET.ORDO:331244,http://www.orpha.net/ORDO/Orphanet_331244,0.914,None
finn-b-Z21_PREGNAC_EXAM_TEST,Pregnancy examination and test,pregnancy test,EFO:0009643,http://www.ebi.ac.uk/efo/EFO_0009643,0.737,None
finn-b-OSTPOPATFRCTURE_POSTEMENO,Postmenopausal osteoporosis with pathological fracture,postmenopausal osteoporosis,EFO:0003854,http://www.ebi.ac.uk/efo/EFO_0003854,0.758,None
ukb-e-521_AFR,Diseases of hard tissues of teeth,tooth hard tissue disease,MONDO:0002220,http://purl.obolibrary.org/obo/MONDO_0002220,0.885,None
finn-b-E4_GOITREMULTINOD,Nontoxic multinodular goitre,multinodular goiter,MONDO:0000334,http://purl.obolibrary.org/obo/MONDO_0000334,0.738,None
finn-b-J10_PULMEOS,"Pulmonary eosinophilia, not elsewhere classified",eosinophilic pneumonia,EFO:0007257,http://www.ebi.ac.uk/efo/EFO_0007257,0.992,None
ukb-b-15686,"Diagnoses - secondary ICD10: I20.9 Angina pectoris, unspecified",angina pectoris,EFO:0003913,http://www.ebi.ac.uk/efo/EFO_0003913,0.602,None
ukb-e-4803_AFR,Tinnitus,Tinnitus,HP:0000360,http://purl.obolibrary.org/obo/HP_0000360,0.996,None
ukb-b-18157,Type of cancer: ICD10: C56 Malignant neoplasm of ovary,ovarian cancer,MONDO:0008170,http://purl.obolibrary.org/obo/MONDO_0008170,0.731,None
finn-b-D3_EOSINOPHILIA,Eosinophilia,Eosinophilia,HP:0001880,http://purl.obolibrary.org/obo/HP_0001880,0.989,None
ukb-e-5257_AFR,Corneal resistance factor (right),corneal resistance factor,EFO:0010067,http://www.ebi.ac.uk/efo/EFO_0010067,0.886,None
ukb-b-13447,"Non-cancer illness code, self-reported: chronic obstructive airways disease/copd",chronic obstructive pulmonary disease,EFO:0000341,http://www.ebi.ac.uk/efo/EFO_0000341,0.75,None
ukb-e-135_CSA,Number of self-reported non-cancer illnesses,"number of non-cancer illnesses, self-reported",EFO:0009801,http://www.ebi.ac.uk/efo/EFO_0009801,0.815,None
