Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score
ukb-b-12234,Operation code: cystectomy,mastectomy,EFO:0020987,http://www.ebi.ac.uk/efo/EFO_0020987,0.562
ukb-e-MAP_p2_MID,"Mean arterial pressure, automated reading, adjusted by medication",mean arterial pressure,EFO:0006340,http://www.ebi.ac.uk/efo/EFO_0006340,0.585
finn-b-O15_RETAINED_PLAC_MEMB_NO_HEAMORRH,"Retained placenta and membranes, without haemorrhage",Retinal hemorrhage,HP:0000573,http://purl.obolibrary.org/obo/HP_0000573,0.558
finn-b-LOCALIZED_SKIN_ERUPT_DRUGS_MEDICAM,Localized skin eruption due to drugs and medicaments,exanthem,EFO:1000697,http://www.ebi.ac.uk/efo/EFO_1000697,0.551
ukb-b-18297,Operative procedures - main OPCS: J13.2 Percutaneous biopsy of lesion of liver NEC,percutaneous kidney biopsy,EFO:0009293,http://www.ebi.ac.uk/efo/EFO_0009293,0.585
ukb-e-6155_p8_CSA,Vitamin and mineral supplements,vitamin supplement exposure measurement,EFO:0009116,http://www.ebi.ac.uk/efo/EFO_0009116,0.596
ukb-a-95,Non-cancer illness code  self-reported: enlarged prostate,benign prostatic hyperplasia,EFO:0000284,http://www.ebi.ac.uk/efo/EFO_0000284,0.567
finn-b-I9_POSTAMI,Status post-ami,acute myocardial infarction,EFO:0008583,http://www.ebi.ac.uk/efo/EFO_0008583,0.558
ukb-e-41245_p20_CSA,Main speciality of consultant (recoded),consultant,EFO:0001732,http://www.ebi.ac.uk/efo/EFO_0001732,0.592
ukb-e-1558_CSA,Alcohol intake frequency.,bowel opening frequency,EFO:0600084,http://www.ebi.ac.uk/efo/EFO_0600084,0.581
ukb-d-M48,Diagnoses - main ICD10: M48 Other spondylopathies,spondyloarthropathy,EFO:0000706,http://www.ebi.ac.uk/efo/EFO_0000706,0.562
ukb-e-1797_CSA,Father still alive,alive (follow-up status),EFO:0030041,http://www.ebi.ac.uk/efo/EFO_0030041,0.553
ukb-a-176,Treatment/medication code: atorvastatin,response to atorvastatin,EFO:0010124,http://www.ebi.ac.uk/efo/EFO_0010124,0.569
ukb-a-557,Diagnoses - main ICD10: K62 Other diseases of anus and rectum,rectal disease,EFO:0009685,http://www.ebi.ac.uk/efo/EFO_0009685,0.574
finn-b-CD2_BENIGN_BONE_SCAPULA_LONG_UPPER,Benign neoplasm: Scapula and long bones of upper limb,bone benign neoplasm,MONDO:0000631,http://purl.obolibrary.org/obo/MONDO_0000631,0.672
finn-b-O15_LABOUR_OBSTR_OTHER,Other obstructed labour,Nasal congestion,HP:0001742,http://purl.obolibrary.org/obo/HP_0001742,0.571
ukb-b-4770,"Diagnoses - main ICD10: K02.9 Dental caries, unspecified",dental caries,EFO:0003819,http://www.ebi.ac.uk/efo/EFO_0003819,0.594
finn-b-R18_OTHER_SYMPTOMS_SIGNS_INVOLVI_GENERAL_SENSA_PERCEP,Other symptoms and signs involving general sensations and perceptions,sign or symptom,EFO:0003765,http://www.ebi.ac.uk/efo/EFO_0003765,0.586
ukb-a-84,Non-cancer illness code  self-reported: bone disorder,bone disease,EFO:0004260,http://www.ebi.ac.uk/efo/EFO_0004260,0.591
finn-b-ANOSMIA,Anosmia,Kallmann syndrome,MONDO:0018800,http://purl.obolibrary.org/obo/MONDO_0018800,0.58
finn-b-K11_HYPO_ONLY,Tooth agenesis EXCLUDE clefts and syndromes,Tooth agenesis,HP:0009804,http://purl.obolibrary.org/obo/HP_0009804,0.556
ukb-e-41245_p47_AFR,Main speciality of consultant (recoded),consultant,EFO:0001732,http://www.ebi.ac.uk/efo/EFO_0001732,0.592
ukb-e-2247_p1_MID,Hearing difficulty/problems,Difficulty standing,HP:0003698,http://purl.obolibrary.org/obo/HP_0003698,0.592
ukb-b-19060,Hearing aid user,able to hear with hearing aids,EFO:0009720,http://www.ebi.ac.uk/efo/EFO_0009720,0.593
ebi-a-GCST006096,Age spots,dental caries,EFO:0003819,http://www.ebi.ac.uk/efo/EFO_0003819,0.584
ukb-b-16207,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Emphysema/chronic bronchitis",chronic bronchitis,EFO:0006505,http://www.ebi.ac.uk/efo/EFO_0006505,0.558
ukb-e-1960_EAS,Fed-up feelings,Fish-eye disease,ORPHANET.ORDO:79292,http://www.orpha.net/ORDO/Orphanet_79292,0.572
ukb-b-10733,Operation code: fertility treatment procedures,fertility measurement,EFO:0006923,http://www.ebi.ac.uk/efo/EFO_0006923,0.554
ukb-a-257,Hearing difficulty/problems: Yes,Difficulty standing,HP:0003698,http://purl.obolibrary.org/obo/HP_0003698,0.554
ukb-e-4288_AFR,Time to answer,time,EFO:0000721,http://www.ebi.ac.uk/efo/EFO_0000721,0.579
ukb-b-18042,Illnesses of siblings: Diabetes,diabetes mellitus,EFO:0000400,http://www.ebi.ac.uk/efo/EFO_0000400,0.584
ukb-e-1379_CSA,Lamb/mutton intake,Carney complex,MONDO:0015285,http://purl.obolibrary.org/obo/MONDO_0015285,0.578
ukb-d-OTHER_ILD_CVD_COMORB,Other ILD-related CVD-co-morbidities,cardiovascular disease,EFO:0000319,http://www.ebi.ac.uk/efo/EFO_0000319,0.56
ukb-a-579,Diagnoses - main ICD10: O75 Other complications of labour and delivery  not elsewhere classified,Abnormal delivery,HP:0001787,http://purl.obolibrary.org/obo/HP_0001787,0.586
ukb-b-14147,Risk taking,risk factor,EFO:0003919,http://www.ebi.ac.uk/efo/EFO_0003919,0.594
ukb-b-7280,"Non-cancer illness code, self-reported: emphysema/chronic bronchitis",chronic bronchitis,EFO:0006505,http://www.ebi.ac.uk/efo/EFO_0006505,0.601
ukb-b-17243,"Non-cancer illness code, self-reported: anxiety/panic attacks",panic disorder,EFO:0004262,http://www.ebi.ac.uk/efo/EFO_0004262,0.558
ukb-e-41245_p1_AFR,Main speciality of consultant (recoded),consultant,EFO:0001732,http://www.ebi.ac.uk/efo/EFO_0001732,0.592
ukb-e-6155_p4_CSA,Vitamin and mineral supplements,vitamin supplement exposure measurement,EFO:0009116,http://www.ebi.ac.uk/efo/EFO_0009116,0.596
finn-b-RHEUMA_ENDPOINTS,Finngen Rheumatological endpoints,rheumatic disease,EFO:0005755,http://www.ebi.ac.uk/efo/EFO_0005755,0.577
ukb-e-41245_p44_CSA,Main speciality of consultant (recoded),consultant,EFO:0001732,http://www.ebi.ac.uk/efo/EFO_0001732,0.592
ukb-b-1480,Diagnoses - secondary ICD10: R00.2 Palpitations,Palpitations,HP:0001962,http://purl.obolibrary.org/obo/HP_0001962,0.601
ukb-d-22617_2442,Job SOC coding: Social workers,social desirability,EFO:0004366,http://www.ebi.ac.uk/efo/EFO_0004366,0.572
finn-b-I9_SAHANEUR_EXNONE,"""Aneurysms, operations, SAH"" (no controls excluded)",brain aneurysm,EFO:0003870,http://www.ebi.ac.uk/efo/EFO_0003870,0.584
ukb-d-N48,Diagnoses - main ICD10: N48 Other disorders of penis,penile disorder,MONDO:0002036,http://purl.obolibrary.org/obo/MONDO_0002036,0.621
ukb-b-3983,"Diagnoses - main ICD10: I25.9 Chronic ischaemic heart disease, unspecified",Myocardial Ischemia,EFO:1001375,http://www.ebi.ac.uk/efo/EFO_1001375,0.582
ukb-e-T81_CSA,"T81 Complications of procedures, not elsewhere classified",complication,EFO:0009518,http://www.ebi.ac.uk/efo/EFO_0009518,0.581
ukb-a-223,Illnesses of siblings: Diabetes,diabetes mellitus,EFO:0000400,http://www.ebi.ac.uk/efo/EFO_0000400,0.584
ukb-e-2714_CSA,Age when periods started (menarche),age at menarche,EFO:0004703,http://www.ebi.ac.uk/efo/EFO_0004703,0.603
finn-b-I9_OTHARR,Other arrhytmias,cardiac rhythm disease,MONDO:0007263,http://purl.obolibrary.org/obo/MONDO_0007263,0.578
ukb-a-535,Diagnoses - main ICD10: I30 Acute pericarditis,pericarditis,EFO:0007427,http://www.ebi.ac.uk/efo/EFO_0007427,0.569
ukb-e-6156_p3_CSA,Manic/hyper symptoms,sign or symptom,EFO:0003765,http://www.ebi.ac.uk/efo/EFO_0003765,0.553
finn-b-M13_NECROVASC,Other necrotizing vasculopathies,vascular disease,EFO:0004264,http://www.ebi.ac.uk/efo/EFO_0004264,0.619
ukb-e-41245_p5_CSA,Main speciality of consultant (recoded),consultant,EFO:0001732,http://www.ebi.ac.uk/efo/EFO_0001732,0.592
finn-b-ST19_POISO_MEDICI_ADVERSE,"Poisoning by medicine, drug-induced",poisoning,EFO:0008546,http://www.ebi.ac.uk/efo/EFO_0008546,0.556
finn-b-CD2_BENIGN_BONE_SCAPULA_LONG_UPPER_EXALLC,Benign neoplasm: Scapula and long bones of upper limb (all cancers excluded),bone benign neoplasm,MONDO:0000631,http://purl.obolibrary.org/obo/MONDO_0000631,0.64
ukb-a-66,Non-cancer illness code  self-reported: asthma,"number of non-cancer illnesses, self-reported",EFO:0009801,http://www.ebi.ac.uk/efo/EFO_0009801,0.557
ukb-b-4930,Operative procedures - main OPCS: Q11.1 Vacuum aspiration of products of conception from uterus NEC,vacuum aspiration,EFO:0010727,http://www.ebi.ac.uk/efo/EFO_0010727,0.582
finn-b-E4_OBESITYCAL,Obesity due to excess calories,obesity,EFO:0001073,http://www.ebi.ac.uk/efo/EFO_0001073,0.571
ukb-e-6156_p4_CSA,Manic/hyper symptoms,sign or symptom,EFO:0003765,http://www.ebi.ac.uk/efo/EFO_0003765,0.553
ukb-d-C78,Diagnoses - main ICD10: C78 Secondary malignant neoplasm of respiratory and digestive organs,respiratory system cancer,MONDO:0000376,http://purl.obolibrary.org/obo/MONDO_0000376,0.583
ukb-e-6177_p2_AFR,"Medication for cholesterol, blood pressure or diabetes",blood pressure,EFO:0004325,http://www.ebi.ac.uk/efo/EFO_0004325,0.578
ukb-e-3591_AFR,Ever had hysterectomy (womb removed),hysterectomy,EFO:0003881,http://www.ebi.ac.uk/efo/EFO_0003881,0.595
finn-b-AB1_SEXUAL_TRANSMISSION,Infections with a predominantly sexual mode of transmission,sexually transmitted disease,MONDO:0021681,http://purl.obolibrary.org/obo/MONDO_0021681,0.568
ukb-a-540,Diagnoses - main ICD10: J22 Unspecified acute lower respiratory infection,respiratory tract infectious disorder,MONDO:0024355,http://purl.obolibrary.org/obo/MONDO_0024355,0.565
finn-b-I9_PHLETHROMBDVTLOW,DVT of lower extremities,lower extremity fracture,EFO:0009512,http://www.ebi.ac.uk/efo/EFO_0009512,0.594
finn-b-ST19_POST_TRAU_WOUND_INFECTION_NOT_ELSEW_CLASSIFIED,"Post-traumatic wound infection, not elsewhere classified",post-traumatic stress disorder,EFO:0001358,http://www.ebi.ac.uk/efo/EFO_0001358,0.582
ukb-e-G56_AFR,G56 Mononeuropathies of upper limb,mononeuropathy,EFO:0009558,http://www.ebi.ac.uk/efo/EFO_0009558,0.579
ukb-e-1960_MID,Fed-up feelings,Fish-eye disease,ORPHANET.ORDO:79292,http://www.orpha.net/ORDO/Orphanet_79292,0.572
ukb-a-141,Treatment/medication code: prednisolone,response to prednisolone,EFO:0009168,http://www.ebi.ac.uk/efo/EFO_0009168,0.581
ukb-e-6154_p4_EAS,"Medication for pain relief, constipation, heartburn",Constipation,HP:0002019,http://purl.obolibrary.org/obo/HP_0002019,0.552
finn-b-KRA_PSY_ANYMENTAL_SUICID_PREG_NERV,"Any mental disorder, or suicide (or attempt), or psychic disorders complicating pregnancy, partum or puerperum or nerve system disorders",disease,EFO:0000408,http://www.ebi.ac.uk/efo/EFO_0000408,0.603
ukb-b-8201,"Non-cancer illness code, self-reported: joint disorder",joint disease,EFO:1000999,http://www.ebi.ac.uk/efo/EFO_1000999,0.585
ukb-b-19045,Diagnoses - main ICD10: J34.8 Other specified disorders of nose and nasal sinuses,paranasal sinus disease,EFO:0009481,http://www.ebi.ac.uk/efo/EFO_0009481,0.608
ukb-e-1498_AFR,Coffee intake,coffee consumption,EFO:0004330,http://www.ebi.ac.uk/efo/EFO_0004330,0.608
ukb-e-100490_CSA,Intake of sugar added to tea,sugar consumption measurement,EFO:0010158,http://www.ebi.ac.uk/efo/EFO_0010158,0.588
ukb-b-1822,Operation code: endometrial ablation,endometrial cancer,MONDO:0011962,http://purl.obolibrary.org/obo/MONDO_0011962,0.579
ukb-a-226,Alcohol drinker status: Never,alcohol drinking,EFO:0004329,http://www.ebi.ac.uk/efo/EFO_0004329,0.596
ieu-a-1110,Large vessel disease,cerebral small vessel disease,EFO:0008493,http://www.ebi.ac.uk/efo/EFO_0008493,0.595
finn-b-J10_TONSILLITIS,Other and unspecified tonssillitis,Recurrent tonsillitis,HP:0011110,http://purl.obolibrary.org/obo/HP_0011110,0.564
ukb-b-1761,"Diagnoses - secondary ICD10: J18.1 Lobar pneumonia, unspecified",pneumonia,EFO:0003106,http://www.ebi.ac.uk/efo/EFO_0003106,0.587
ukb-b-9346,Operation code: other urological surgery,urinary system disease,EFO:0009690,http://www.ebi.ac.uk/efo/EFO_0009690,0.604
ukb-e-6154_p4_MID,"Medication for pain relief, constipation, heartburn",Constipation,HP:0002019,http://purl.obolibrary.org/obo/HP_0002019,0.552
ukb-e-6155_p2_EAS,Vitamin and mineral supplements,vitamin supplement exposure measurement,EFO:0009116,http://www.ebi.ac.uk/efo/EFO_0009116,0.596
ebi-a-GCST90016624,Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS)),schizophrenia,MONDO:0005090,http://purl.obolibrary.org/obo/MONDO_0005090,0.581
finn-b-VWXY20_COMPLICATIO_MEDICAL_SURGI_CARE,Complications of medical and surgical care,medical procedure,EFO:0002571,http://www.ebi.ac.uk/efo/EFO_0002571,0.59
ukb-e-874_p1_AFR,Duration of walks,duration,EFO:0000433,http://www.ebi.ac.uk/efo/EFO_0000433,0.596
ukb-b-10849,"Diagnoses - main ICD10: N93.9 Abnormal uterine and vaginal bleeding, unspecified",Metrorrhagia,HP:0100608,http://purl.obolibrary.org/obo/HP_0100608,0.588
ukb-e-2247_p2_AFR,Hearing difficulty/problems,Difficulty standing,HP:0003698,http://purl.obolibrary.org/obo/HP_0003698,0.592
ukb-b-19864,Diagnoses - secondary ICD10: Z86.1 Personal history of infectious and parasitic diseases,parasitic infection,EFO:0001067,http://www.ebi.ac.uk/efo/EFO_0001067,0.607
ukb-e-104420_CSA,Prune intake,Prune belly syndrome,ORPHANET.ORDO:2970,http://www.orpha.net/ORDO/Orphanet_2970,0.563
finn-b-E4_DM1NEU,Type 1 diabetes with neurological complications,nervous system disease,EFO:0000618,http://www.ebi.ac.uk/efo/EFO_0000618,0.558
finn-b-CD2_INSITU_MELANOMA_FACE,Melanoma in situ of other and unspecified parts of face,melanoma,EFO:0000756,http://www.ebi.ac.uk/efo/EFO_0000756,0.598
finn-b-M13_DORSOPATHYOTH,"Other dorsopathies, not elsewhere classified",rheumatic disease,EFO:0005755,http://www.ebi.ac.uk/efo/EFO_0005755,0.583
ukb-e-1717_AFR,Skin colour,skin neoplasm,EFO:0004198,http://www.ebi.ac.uk/efo/EFO_0004198,0.603
ukb-e-6140_p3_CSA,Heating type(s) in home,mating type,EFO:0001268,http://www.ebi.ac.uk/efo/EFO_0001268,0.566
finn-b-ST19_ALIQU_COMPLICATI_PRAECO_TRAUMAT,!Aliquae complicationes praecoces traumatis,trauma complication,EFO:0009888,http://www.ebi.ac.uk/efo/EFO_0009888,0.576
ukb-d-G45,Diagnoses - main ICD10: G45 Transient cerebral ischaemic attacks and related syndromes,transient ischemic attack,EFO:0003764,http://www.ebi.ac.uk/efo/EFO_0003764,0.572
ukb-d-41231_1,Hospital episode type: General episode,manic episode measurement,EFO:0007705,http://www.ebi.ac.uk/efo/EFO_0007705,0.588
ukb-e-4814_CSA,Tinnitus severity/nuisance,Tinnitus,HP:0000360,http://purl.obolibrary.org/obo/HP_0000360,0.597
ukb-e-6140_p1_AFR,Heating type(s) in home,mating type,EFO:0001268,http://www.ebi.ac.uk/efo/EFO_0001268,0.566
ukb-a-77,Non-cancer illness code  self-reported: hypothyroidism/myxoedema,hypothyroidism,EFO:0004705,http://www.ebi.ac.uk/efo/EFO_0004705,0.566
ukb-e-23120_EAS,Arm fat mass (right),right,EFO:0001659,http://www.ebi.ac.uk/efo/EFO_0001659,0.575
finn-b-N14_NEUROMUSCDYSBLADD,Neuromuscular dysfuntion of bladder,neuromuscular disease,EFO:1001902,http://www.ebi.ac.uk/efo/EFO_1001902,0.558
ukb-e-1498_CSA,Coffee intake,coffee consumption,EFO:0004330,http://www.ebi.ac.uk/efo/EFO_0004330,0.608
ukb-e-6154_p7_CSA,"Medication for pain relief, constipation, heartburn",Constipation,HP:0002019,http://purl.obolibrary.org/obo/HP_0002019,0.552
ukb-d-5182_1,Both eyes present: Yes,Proptosis,HP:0000520,http://purl.obolibrary.org/obo/HP_0000520,0.576
ieu-a-1132,ER+ Breast cancer (Oncoarray),breast cancer,MONDO:0007254,http://purl.obolibrary.org/obo/MONDO_0007254,0.56
ukb-e-41245_p36_CSA,Main speciality of consultant (recoded),consultant,EFO:0001732,http://www.ebi.ac.uk/efo/EFO_0001732,0.592
ukb-b-7901,"Non-cancer illness code, self-reported: infective/viral hepatitis",animal viral hepatitis,EFO:0007540,http://www.ebi.ac.uk/efo/EFO_0007540,0.588
ukb-e-6154_p3_AFR,"Medication for pain relief, constipation, heartburn",Constipation,HP:0002019,http://purl.obolibrary.org/obo/HP_0002019,0.552
ukb-d-M13,Diagnoses - main ICD10: M13 Other arthritis,arthritis,EFO:0005856,http://www.ebi.ac.uk/efo/EFO_0005856,0.622
finn-b-R18_SYMPTOMS_SIGNS_INVOLVI_DIGES_SYSTEM_ABDOMEN,Symptoms and signs involving the digestive system and abdomen,sign or symptom,EFO:0003765,http://www.ebi.ac.uk/efo/EFO_0003765,0.577
ukb-e-recode3_AFR,"Smoking status, ever vs never",smoking status measurement,EFO:0006527,http://www.ebi.ac.uk/efo/EFO_0006527,0.571
ukb-d-20544_11,Mental health problems ever diagnosed by a professional: Depression,depressive disorder,MONDO:0002050,http://purl.obolibrary.org/obo/MONDO_0002050,0.575
ukb-d-M13_ARTHRITISNAS,Ohter specific/unspecified arthritis,arthritis,EFO:0005856,http://www.ebi.ac.uk/efo/EFO_0005856,0.594
ukb-e-6154_p3_EAS,"Medication for pain relief, constipation, heartburn",Constipation,HP:0002019,http://purl.obolibrary.org/obo/HP_0002019,0.552
ukb-b-11615,Qualifications: A levels/AS levels or equivalent,antinuclear antibody measurement,EFO:0005949,http://www.ebi.ac.uk/efo/EFO_0005949,0.553
finn-b-OSTPOPATFRACTURE,Drug-induced osteoporosis with pathological fracture,X-linked osteoporosis with fractures,MONDO:0018315,http://purl.obolibrary.org/obo/MONDO_0018315,0.597
ukb-b-3467,"Non-cancer illness code, self-reported: bronchitis",bronchitis,EFO:0009661,http://www.ebi.ac.uk/efo/EFO_0009661,0.57
ukb-d-R22,"Diagnoses - main ICD10: R22 Localised swelling, mass and lump of skin and subcutaneous tissue",skin disease,EFO:0000701,http://www.ebi.ac.uk/efo/EFO_0000701,0.598
ukb-e-1379_AFR,Lamb/mutton intake,Carney complex,MONDO:0015285,http://purl.obolibrary.org/obo/MONDO_0015285,0.578
ukb-e-recode3_EAS,"Smoking status, ever vs never",smoking status measurement,EFO:0006527,http://www.ebi.ac.uk/efo/EFO_0006527,0.571
ukb-e-3751_AFR,Chest pain or discomfort when walking uphill or hurrying,Chest pain,HP:0100749,http://purl.obolibrary.org/obo/HP_0100749,0.567
ukb-b-212,Diagnoses - main ICD10: D17.2 Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,benign lipomatous neoplasm,MONDO:0044983,http://purl.obolibrary.org/obo/MONDO_0044983,0.65
finn-b-H7_VISUALDISTBLIND,Visual disturbances and blindness,Blindness,HP:0000618,http://purl.obolibrary.org/obo/HP_0000618,0.585
ukb-b-5266,Diagnoses - secondary ICD10: N39.3 Stress incontinence,Stress urinary incontinence,HP:0010992,http://purl.obolibrary.org/obo/HP_0010992,0.58
ukb-b-17988,Tea consumed,tea consumption measurement,EFO:0010091,http://www.ebi.ac.uk/efo/EFO_0010091,0.568
ukb-d-G6_EPIPAROX,Episodal and paroxysmal disorders,Paroxysmal extreme pain disorder,ORPHANET.ORDO:46348,http://www.orpha.net/ORDO/Orphanet_46348,0.597
ukb-d-2247_0,Hearing difficulty/problems: No,Difficulty standing,HP:0003698,http://purl.obolibrary.org/obo/HP_0003698,0.564
ukb-e-41245_p23_CSA,Main speciality of consultant (recoded),consultant,EFO:0001732,http://www.ebi.ac.uk/efo/EFO_0001732,0.592
finn-b-Q17_CHEFT_HARD_PALATE_NOS,Cheft hard palate NOS,Cleft palate,HP:0000175,http://purl.obolibrary.org/obo/HP_0000175,0.571
ukb-b-16781,Diagnoses - main ICD10: G47.3 Sleep apnoea,Apnea,HP:0002104,http://purl.obolibrary.org/obo/HP_0002104,0.575
ukb-e-MAP_p2_CSA,"Mean arterial pressure, automated reading, adjusted by medication",mean arterial pressure,EFO:0006340,http://www.ebi.ac.uk/efo/EFO_0006340,0.585
ukb-b-10248,Type of cancer: ICD10: C44.3 Skin of other and unspecified parts of face,skin cancer,MONDO:0002898,http://purl.obolibrary.org/obo/MONDO_0002898,0.561
ukb-a-357,Underlying (primary) cause of death: ICD10: E85.4 Organ-limited amyloidosis,AL amyloidosis,MONDO:0019438,http://purl.obolibrary.org/obo/MONDO_0019438,0.579
ukb-b-12227,Illnesses of siblings: Breast cancer,breast cancer,MONDO:0007254,http://purl.obolibrary.org/obo/MONDO_0007254,0.594
ukb-a-71,Non-cancer illness code  self-reported: cholelithiasis/gall stones,cholelithiasis,EFO:0004799,http://www.ebi.ac.uk/efo/EFO_0004799,0.591
ukb-b-16989,External causes: Y83.8 Other surgical procedures,medical procedure,EFO:0002571,http://www.ebi.ac.uk/efo/EFO_0002571,0.564
ukb-d-H35,Diagnoses - main ICD10: H35 Other retinal disorders,retinopathy,EFO:0003839,http://www.ebi.ac.uk/efo/EFO_0003839,0.614
ukb-e-recode8_AFR,"hl.rand_norm(mean=pop_dict[mt.pop], seed=42)",pelvic organ prolapse,EFO:0004710,http://www.ebi.ac.uk/efo/EFO_0004710,0.576
ukb-b-12556,Diagnoses - secondary ICD10: K30 Dyspepsia,dyspepsia,EFO:0008533,http://www.ebi.ac.uk/efo/EFO_0008533,0.625
ebi-a-GCST90000256,Severe COVID-19 infection with respiratory failure (analysis II),respiratory failure,EFO:0009686,http://www.ebi.ac.uk/efo/EFO_0009686,0.602
ukb-a-552,Diagnoses - main ICD10: K50 Crohn's disease [regional enteritis],Crohn's disease,EFO:0000384,http://www.ebi.ac.uk/efo/EFO_0000384,0.607
ukb-a-170,Treatment/medication code: citalopram,response to citalopram,EFO:0006329,http://www.ebi.ac.uk/efo/EFO_0006329,0.563
ukb-b-8348,Diagnoses - secondary ICD10: K62.1 Rectal polyp,polyp of rectum,MONDO:0021398,http://purl.obolibrary.org/obo/MONDO_0021398,0.6
ukb-e-894_EAS,Duration of moderate activity,duration,EFO:0000433,http://www.ebi.ac.uk/efo/EFO_0000433,0.558
ukb-b-5942,Illnesses of father: Severe depression,depressive disorder,MONDO:0002050,http://purl.obolibrary.org/obo/MONDO_0002050,0.576
ukb-e-3849_CSA,Number of pregnancy terminations,pregnancy,EFO:0002950,http://www.ebi.ac.uk/efo/EFO_0002950,0.594
ieu-a-962,Ever vs never smoked,epidermodysplasia verruciformis,MONDO:0009176,http://purl.obolibrary.org/obo/MONDO_0009176,0.568
ukb-e-6154_p1_AFR,"Medication for pain relief, constipation, heartburn",Constipation,HP:0002019,http://purl.obolibrary.org/obo/HP_0002019,0.552
finn-b-SCND_OTH_KNEEARTHROSIS,Other secondary gonarthrosis,joint disease,EFO:1000999,http://www.ebi.ac.uk/efo/EFO_1000999,0.6
ukb-e-6155_p7_CSA,Vitamin and mineral supplements,vitamin supplement exposure measurement,EFO:0009116,http://www.ebi.ac.uk/efo/EFO_0009116,0.596
ukb-b-6358,"Non-cancer illness code, self-reported: stroke","number of non-cancer illnesses, self-reported",EFO:0009801,http://www.ebi.ac.uk/efo/EFO_0009801,0.56
finn-b-Z21_SPECIAL_SCREEN_EXAM_OTH_DISEA_DISORD,Special screening examination for other diseases and disorders,disease,EFO:0000408,http://www.ebi.ac.uk/efo/EFO_0000408,0.582
ukb-d-20553_5,"Methods of self-harm used: Self-injury such as self-cutting, scratching or hitting, etc.",Self-injurious behavior,HP:0100716,http://purl.obolibrary.org/obo/HP_0100716,0.556
ukb-d-H00,Diagnoses - main ICD10: H00 Hordeolum and chalazion,meibomian cyst,EFO:0007363,http://www.ebi.ac.uk/efo/EFO_0007363,0.564
ukb-e-SBP_p3_EAS,"Systolic blood pressure, combined automated + manual reading, adjusted by medication",systolic blood pressure,EFO:0006335,http://www.ebi.ac.uk/efo/EFO_0006335,0.6
ukb-d-20448,Professional informed about depression,depressive disorder,MONDO:0002050,http://purl.obolibrary.org/obo/MONDO_0002050,0.595
ukb-e-2714_EAS,Age when periods started (menarche),age at menarche,EFO:0004703,http://www.ebi.ac.uk/efo/EFO_0004703,0.603
ukb-e-6177_p3_CSA,"Medication for cholesterol, blood pressure or diabetes",blood pressure,EFO:0004325,http://www.ebi.ac.uk/efo/EFO_0004325,0.578
ukb-e-2714_AFR,Age when periods started (menarche),age at menarche,EFO:0004703,http://www.ebi.ac.uk/efo/EFO_0004703,0.603
ieu-a-1135,ER- Breast cancer (Oncoarray),breast cancer,MONDO:0007254,http://purl.obolibrary.org/obo/MONDO_0007254,0.56
